label,statement,speaker,context,justification
TRUE,Building a wall on the U.S.-Mexico border will take literally years.,rick-perry,Radio interview,"Meantime, engineering experts agree the wall would most likely take years to complete. Keep in mind, too, it took more than six years to build roughly 700 miles of fence and barriers along the roughly 2,000-mile U. S. -Mexico border."
FALSE,Wisconsin is on pace to double the number of layoffs this year.,katrina-shankland,a news conference,"She cited layoff notices received by the state. But those arent actual layoffs. In the time frame she cited the states added about 30,300 jobs."
FALSE,Says John McCain has done nothing to help the vets.,donald-trump,comments on ABC's This Week.,"Trump said that McCain ""has done nothing to help the vets. ""While many veterans groups have had their differences with McCain over the years over specific legislation and his general approach to veterans issues, thats not the same as saying hes done ""nothing"" for veterans. In fact, just within the past two years, McCain has sponsored and helped enact several major provisions to help veterans. He also devotes a significant portion of his office staff to offer veterans on casework."
half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,rob-cornilles,a radio show,"But spending still goes up. In addition, many outside factors can affect the cost and range of benefits, making it impossible to know how Medicare Advantage might change. While the statement from Cornilles is partially accurate, it is taken out of context and ignores important details on a politically volatile subject."
pants-fire,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",state-democratic-party-wisconsin,a web video,"Our rating A Democratic Party web video making the rounds on social media shows a grim-faced Gov. Scott Walker appearing to bob his head yes to a reporters question about whether he was at the center of a ""criminal scheme"" to evade campaign finance laws. In real life, the governor answered an emphatic ""no"" -- not surprising given hes been denying any wrongdoing since new documents were released in the John Doe investigation."
TRUE,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,brendan-doherty,a campaign website,"Rhode Islands former top cop is setting his bar of expectation pretty high if hes promising to curb this kind of ""rampant fraud and waste. ""Get updates from PolitiFactRI on Twitter."
TRUE,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,stand-children-tennessee,in a post on Facebook.,"Residents in those suburbs do not get a vote because they already have authorized sales tax increases for their towns. Another argument by proponents is that a vote against the half-cent sales tax increase is essentially a vote for a property-tax increase to fund the expected budget gap created because of schools consolidation. Our ruling    There is clearly much for voters to consider on the referendum to increase by a half-cent the county's sales tax rate, and the contentiousness related to the Shelby County's reorganization of public schools has created some confusion for voters."
barely-true,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",john-boehner,a press release.,"Boehner may be technically correct that Biden mentioned people being scammed in the roundtable meeting. But Boehner incorrectly suggests the vice president called the stimulus a scam and he fails to note that Biden promised ""to expose abuses whenever they were detected,"" as the AP reported."
TRUE,Donald Trump is against marriage equality. He wants to go back.,sean-patrick-maloney,a speech at the Democratic National Convention,"Speaking at the Democratic National Convention, Maloney said Trump is ""against marriage equality"" and ""wants to go back"" on the Supreme Courts same-sex marriage decision. Trump has consistently opposed same-sex marriage in interviews since 2000. He also said he would consider appointing justices to the Supreme Court who would favor reversing the decision and leave the issue of same-sex marriage to the states."
barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,mike-pence,"comments on ""Meet the Press""","Pence said, ""We know that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors of the Clinton Foundation. ""Pence inaccurately described an Associated Press report. The report found that of 154 meetings Clinton took with private individuals over about half of her time as secretary of state, 85 were with people who had donated to the foundation. But the analysis leaves out thousands of meetings Clinton took, including every time she met with employees of both U. S.  and foreign governments. It also only covers part of her time as secretary of state."
barely-true,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,mike-berlon,an article,"While more people voted Democrat in the 2008 primary, Republicans dominated in the 2010 statewide races, and more Georgians voted on the GOP ballot in July. The polling data says its close, but election results and the most recent makeup of the Georgia Legislature suggest there are more Georgians who consider themselves Republican."
barely-true,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,bill-flores,a TV ad.,We informed Mackowiak of the date conflict. He later told us that the campaign had fixed the date and sent new copies of the ad to the outlets running the ads.
pants-fire,Denali is the Kenyan word for black power.,viral-image,an image shared on Facebook,"The word ""Denali"" doesnt show up in Swahili, one of Kenyas two national languages. Instead, its Koyukon Athabaskan for ""high"" or ""tall."
FALSE,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",facebook-posts,a meme on social media,"A social-media meme says that 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps. To get numbers that approximate this, the pie chart cherry-picks just discretionary spending. But that means the pie chart represents only about one-third of federal spending. Once you include the 60 percent of the budget that is mandatory spending, the military share plunges from 57 percent to 16 percent, and the categories that include Social Security, Medicare and Medicaid collectively account for a majority of federal spending. Spending on food and agriculture is still small, but it does quadruple from 1 percent to 4 percent. Due to its skewed methodology, the pie chart offers a deeply distorted picture of federal spending."
half-true,On residency requirements for public workers,chris-abele,a letter,"He clearly has some misgivings about residency rules for Milwaukee County government, so leaving the file unsigned is not a major reversal. Still, his actions and words have been inconsistent, to the point where both his political friends and his frequent foes on the County Board were taken aback by his withdrawal from the fight as the legislative battle drew to a close in June. Indeed, if Abele had the nuanced position he says he did, it was so closely held that even one of his top aides apparently was completely unaware of it."
TRUE,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,rick-santorum,a speech,"In October, it was 4. 4 percent, according to the BLS. In this category, the numbers havent changed much in the past 12 months. Santorums numbers were on target for college-educated workers. The former senator apparently did his homework this time about the unemployment rate for noncollege-educated workers."
pants-fire,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,tom-niehaus,interviews with reporters,"As Senate president, Niehaus is one of the most influential people in the state government and when he speaks people listen."
half-true,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,marsha-blackburn,a speech to the Freedom Summit in New Hampshire,"Blackburn said a recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats ""say the biggest threat to our nation's security is big government. ""She got the numbers right, but the specific poll only offered respondents three options: ""big government,"" ""big business"" or ""big labor. Other polls, including Gallups own, show that when respondents are asked an open-ended question, other issues such as the economy rise to the top of the list. So Blackburn is essentially cherry-picking among polls."
TRUE,"Each year, 18,000 people die in America because they don't have health care.",hillary-clinton,"a speech in Des Moines, Iowa.","It was granted a charter by Congress in 1863 and has a mandate to advise the federal government on scientific and technical matters. The report found that people without health care coverage:     received less frequent or no use of cancer screening tests;     received inconsistent care for the management of chronic disease;     received fewer diagnostic and treatment services for trauma or heart attacks, and had an increased risk of death when in the hospital. The report concluded that ""excess deaths among uninsured adults ages 2564, based on a 25 percent higher mortality risk, can be estimated to be in the range of 18,000 each year. ""The report was independently reviewed."
FALSE,Ronald Reagan faced an even worse recession than the current one.,sarah-palin,"her book, Going Rogue","The misery index in the current recession has been lower -- 5. 7 in 2008 and 11. 8 so far in 2009. The barometers we examined aren't necessarily equal measurements of the magnitude, but collectively they paint a picture that the current recession -- so far -- is worse than the one under Reagan. Even if we had decided to include inflation as a factor, the measurements would still indicate the current recession is worse."
mostly-true,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,chris-sgro,a speech urging Charlotte's anti-discrimination ordinance be left intact,"Chris Sgro, the executive director of Equality NC, said that ""There have not been any public safety issues in those other communities"" with ordinances allowing transgender people to use the bathroom of their choice. We havent found any instances of criminals convicted of using transgender protections as cover in the United States. Neither have any left-wing groups or right-wing groups. There was one incident in Canada, involving a rapist. In the U. S. , there have been a few yet-unproven allegations."
half-true,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,marco-rubio,a prepared statement,"Rubio said that Romney was ""one of the first national Republican leaders to endorse me. ""Romney did endorse Rubio before Crist dropped out of the primary in 2010. But it was clear at the time that Rubio would have thumped Crist in a primary if Crist hadnt dropped out. But it bears noting that Romneys endorsement of Rubio was something less than a pioneering stand."
pants-fire,The number of illegal immigrants could be 3 million. It could be 30 million.,donald-trump,"a speech in Phoenix, Ariz.","Trump said the number of illegal immigrants ""could be 3 million. It could be 30 million. ""Both figures are not within the range of possibility. Every credible estimate we found was in the 11 million range, with a margin of error of around 1 million. The figure has ""always"" been 11 million, in recent years, because of the flow of undocumented immigrants in and out of the United States."
mostly-true,Marijuana is less toxic than alcohol.,marijuana-policy-project,a TV ad,"Our job as fact-checkers in this case is not to decide whether marijuana is good or harmful. We're focused on whether the drug in its natural form is ""less toxic"" than alcohol. In that regard, science and statistics present a strong case:  Deaths or even trips to the hospital are much more likely due to alcohol; Scientists could not find any documented deaths from smoking marijuana; A study found the safety ratio for marijuana (the number of doses to cause death) is much greater than compared to alcohol. Put another way, marijuana is 100 times less toxic than alcohol."
FALSE,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,republican-party-florida,a TV ad,"The Republicans ad said, ""Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme,"" referring to Digital Domain getting $20 million in state incentives and then going belly up. But a state report, ordered by Scott, concluded there were no violations of law or rules by Crist or any other politician. The report also showed Crist was one of many political players who helped the company get the state money. A civil court could find that Digital Domain committed fraud. However, the companys plan to pay off its debt in another state by getting money from Florida doesnt meet the definition of a classic Ponzi scheme. Also, while Crist is mentioned in the court filing, he's not a defendant in the case."
TRUE,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",lindsey-graham,a Senate hearing,"Reagan appointee Robert Bork, for example, lost a 42-58 Senate confirmation vote amid much partisan rancor in 1987. Obama was then a community organizer in Chicago. Here, though, we're checking if Graham was right that Scalia and Ginsburg were confirmed by such large margins."
barely-true,I was gone when there was a red line against Syria.,hillary-clinton,the second presidential debate,"Clinton said, ""I was gone"" when there was a red line against Syria. Clinton was secretary of state in August 2012 when Obama said if the Assad regime were to use chemical weapons, that would cross a ""red line"" after which Obama would consider using military force in Syria. In the months following that statement, Clinton reiterated Obamas position, using the phrase ""red line. ""A year later, August 2013, the White House confirmed Syria had crossed this ""red line. ""By this point, Clinton had left the State Department months earlier. However, in the days following that revelation, Clinton met with Obama and his staff several times and publicly endorsed the White Houses position on how to respond."
half-true,"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",republican-national-committee-republican,a blog post.,"As the Democratic vice presidential nominee, Kaine clearly is taking on college affordability by advocating debt-free college for everyone and tuition-free education for in-state students from families making less than $125,000 a year. When Kaine was governor from 2006 to 2010, in-state tuition and instructional fees rose 31. 2 percent at four-year colleges and 24. 5 percent at community colleges. Colleges largely are autonomous in Virginia and allowed to set their own student costs. Tuition has been rising steadily in Virginia and across the nation for decades. While Kaine did not pull the lever for the tuition hikes, they did occur under his watch."
TRUE,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",mike-pence,MSNBC interview.,"Legislators have opted to give 85 percent of the polluting permits away for free instead of putting them up for sale, as Obama pledged to do on the campaign trail. In theory, this approach should reduce costs to consumers. Furthermore, revenue from auctioned permits will help consumers pay for increased energy prices, according to Obama's first budget. Despite those potential cost cuts, there's still little disagreement that consumers will pay for cap-and-trade, whether it's $3,100 a year or $340."
mostly-true,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,cliff-stearns,a press release,"However, that same research doesnt conclude that military members are twice as likely to ""develop"" prostate cancer as Stearns said. The study hypothesizes that one reason for the different diagnosis rate may be because military members are subject to more frequent health screenings. Getting to the bottom of the discrepancy is actually why Stearns requested the money. Thats a needed clarification when considering Stearns comment."
FALSE,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,cory-gardner,a talk show,"While hemay have intendedto invoke the example of Supreme Court nominations in the 1888 presidential election-year, he didn't say that."
FALSE,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",sarah-palin,a commentary,"Palin said that under Lehmberg, the ""Travis County D. A. s office"" convened the grand jury that indicted Perry. A special grand jury consisting of Travis County citizens indicted Perry in August 2014. But Lehmbergs office played no role in organizing the jurors. Early on, Lehmbergs office recused itself from handling the complaint that eventually resulted in the grand jury whose secret deliberations culminated in Perrys felony charges. A senior district judge from San Antonio, chosen by a judge based in Williamson County, impaneled the grand jury. The San Antonio judge picked a San Antonio lawyer to prosecute the case."
half-true,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,democratic-congressional-campaign-committee,an election ad,But the ad fails to note that those two grades later changed. Recognizing that Ganley is Ohio's largest car dealer with 20 dealerships is information not in the ad that lends it some perspective. And that the average grade for all those dealerships is a B plus is an important detail that also is missing.
TRUE,The United States has a low voter turnout rate.,mamie-locke,an interview.,"Locke said ""The United States has a low voter turnout rate. ""She based her statement on a Pew study that shows the U. S.  ranks 31st among 34 OECD nations in the percentage of age-eligible people who cast ballots in recent national elections. Wider data, compiled by the International Institute for Democracy and Electoral Assistance, ranks the U. S.  73rd among 109 nations and territories."
half-true,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",herman-cain,a video on Cain TV,"Cain said that Thomas Jefferson said, ""You might be able to fool the people for a while, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course. ""Jefferson did write a line that resembles that in some important ways, but Cain put a fair number of words into Jeffersons mouth. At PunditFact, we believe quotations should be relatively word-for-word accurate. If someone went to the trouble to leave their thoughts for posterity, the least we should do is honor what they actually said."
barely-true,"Because of the federal health care law, 300,000 health plans canceled in Florida.",rick-scott,a television ad from Let's Get to Work,"Scott's TV ad says, ""300,000 health plans canceled,"" attributing the number to news reports. Last fall, Florida Blue started sending letters to 300,000 members stating that their plans didnt comply with Obamacare and would be canceled. However, the ad omits key information here: Members were offered new plans that complied with the law. Obama later announced that people could keep their plans for another year and most of the Florida Blue members have kept their pre-Obamacare plans for now."
mostly-true,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",jeanne-shaheen,an ad,"Shaheens ad says that ""in Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses. ""The measure backed by Brown nine years ago made sure that women were provided photos of developing fetuses, along with a lot more information. It certainly forced doctors and their representatives to provide this information to women seeking abortions -- except in cases of emergency -- and it ensured women received the information both through verbal questions and a signed consent form. Brown has a point that the bill wouldn't have ""forced"" them to look at color photographs -- but it did just about everything else it could possibly do up to that line."
TRUE,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",dennis-kucinich,a television interview,"Two of the several foreign banks getting help were Royal Bank of Scotland Plc at $84. 5 billion and UBS AG of Switzerland at $77. 2 billion. The Federal Reserve treats foreign banks operating in the United States the same as U. S.  banks because they are all part of the same financial system. On a side note, even some companies, including General Electric, received emergency cash. So while Kucinichs comment that ""the Fed created $1. 2 trillion out of nothing, gave it to banks and some of them foreign banks so that they could stabilize their operations"" is a bit flip, maybe even pejorative, he was essentially correct in describing the unique money-creating capabilities of the Federal Reserve and how it was used."
TRUE,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,kevin-brady,a press release,"Brady said: ""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago. ""While thats a squishy figure -- an estimate that cant be pinned as a fact unless you somehow divine every Texans marginal tax rate for each of the 10 years, for starters -- it appears to be reasonable. Its also so that families that had these savings were mostly better off; lower-income taxpayers tend not to itemize deductions."
barely-true,Pre-existing conditions are covered under my (health care) plan.,mitt-romney,a presidential debate in Denver,"Romney said his health care proposals include protections for pre-existing conditions What he didnt say at the debate -- but which his website states and advisers confirmed after the debate -- is that people would be protected from denial only if they have been continuously insured. The health care law, though, offers protections whether people have current coverage or not, so it offers more robust protection. The law also includes a requirement that everyone have insurance or pay a tax penalty. Romneys plan doesnt have that requirement. Romney did not mention the qualifier that people have to stay insured to get the protection."
half-true,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",doonesbury,the strip about Greg Abbott and the Jade Helm military exercise,"Bernie, a Doonesbury character, said Abbott ""activated the state guard to monitor"" Jade Helm 15 ""in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores. ""Abbott told the Guard to monitor the exercise though far as we can tell, no troops were dispatched or activated. Its also worth noting Abbott has said Texans safety and rights were not threatened by the federal maneuvers."
pants-fire,Says he won the second debate with Hillary Clinton in a landslide in every poll.,donald-trump,a tweet,"For what theyre worth, those are landslide margins. But even in non-scientific surveys, Trump didnt win them all: In a non-scientific survey done online by the Fox television affiliate in Milwaukee, Clinton won by 52 percent to 48 percent among 325,000 votes cast. But four national, scientific surveys all showed that not only did Trump not win by a landslide margin, he didnt win any of the polls at all."
barely-true,Says bag litter increased after San Francisco banned single-use shopping bags.,drew-springer,a press release,"Springer said San Franciscos ""litter from bags actually increased after enacting their ban"" on plastic bags. A litter audit conducted before the ban took full effect found two more retail plastic bags than the previous years sampling. However, the next audit, launched after the ban had been fully in place for nearly a year, saw a two-bag drop. Maybe this means that such litter is decreasing, though we would want more research to reach definitive conclusions."
mostly-true,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",michele-bachmann,"a Republican presidential debate in Des Moines, Iowa","In the 1993 interview, Gingrich advocated for individuals ""being required to have health insurance,"" though he expressed flexibility on the details. In the 2011 interview, Gingrich said ""we ought to have some requirement that you either have health insurance or you post a bond. ""Its an exaggeration to say that this equates to advocating for an individual mandate, since he posed it as one of two acceptable options."
barely-true,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",robert-menendez,an interview on Richard French Live,"Over the next 10 years, we save $1. 2 trillion in savings in terms of health care. ""But Menendez fumbled by citing those specific figures. Over the first 10 years, the budget office is projecting a reduction of $210 billion, not the ""$250 million"" cited by Menendez. As for whether there will be ""$1. 2 trillion in savings"" in the second 10 years, the budget office has not projected any specific dollar figure for that period."
half-true,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",hillary-clinton,"a debate in Manchester, N.H.","Clinton was also among those senators voting yes. Obama said the final deal was not ideal but was an improvement over earlier Republican proposals. ""This compromise does modestly improve the Patriot Act by strengthening civil liberties protections without sacrificing the tools that law enforcement needs to keep us safe,"" he said, adding, ""I urge my colleagues to continue working on ways to improve the civil liberties protections in the Patriot Act after it is reauthorized. ""So while Obama did vote to reauthorize the Patriot Act, he did so after working to improve the law by expanding civil rights guarantees."
mostly-true,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,barack-obama,the State of the Union address,"Obama said, ""the federal minimum wage is worth about twenty percent less than it was when Ronald Reagan"" gave his first State of the Union address. Obama's not far off, but its actually closer to 16 percent less. And using Reagan to make a case to raise the minimum wage should be taken with a grain of salt since the former president never increased it during his two terms. And by Reagans last State of the Union, the minimum wage was $2 less than when he first took office, if you factor in inflation. We had written that Obama had said ""the federal minimum wage is worth about 20 percent less than it was when Ronald Reagan"" gave his first State of the Union address. As the reader pointed out, a new president's first address to a joint session of Congress -- the 1981 speech that Obama was referring to -- is not officially called a State of the Union address. So we have rewritten our paraphrase in the ruling statement above to remove the reference to the State of the Union."
FALSE,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",steve-brown,a forum hosted by The Atlanta Journal-Constitution,"In sum:    Brown based his calculation on a transit cost estimate thats open to accusations of cherry-picking. Furthermore, even Brown and Ross think their own number falls short."
